participant,condition,file,taskId,T_task_sec,N_cmds,N_actuations,n_devices_final,n_colors_required
12,P+SR,2_C.json,b594ae95-d981-4868-ae48-3f63eb87087a,25.0977974,1,4,4,2
12,P+SR,2_C.json,4e23551b-4fd6-49d6-bc2b-c11836bf2a24,62.1901,3,6,2,2
13,Label,4_C.json,b594ae95-d981-4868-ae48-3f63eb87087a,140.347443,4,11,4,2
13,Label,4_C.json,3d9e0045-08fb-4a50-b4e5-e4b24c3554c9,70.8556747,1,2,2,1
13,Label,4_C.json,7612d934-759d-4a55-9a58-ef65940b7162,59.0212822,3,6,3,3
13,Label,4_C.json,1ff814e6-7f85-4e81-ad9f-9aababb20e6d,93.90537,4,10,4,2
13,Label,4_C.json,e81806f6-a4f2-4336-b77b-3407e101bc18,105.800957,5,12,3,2
13,Label,4_C.json,e0153245-d5d9-449a-87f1-2a35d3239eef,90.78726,2,9,6,2
13,Label,4_C.json,ff4748e2-cd97-45bb-bf2c-e5c9c33f78ac,26.5398769,1,3,3,1
13,Label,4_C.json,04f5e376-2845-485a-8cb1-c38e3858ff8a,44.9112053,2,6,4,2
13,Label,4_C.json,fd995852-c28d-49e9-97b5-9774af3241c3,107.742485,5,24,6,3
13,Label,4_C.json,b0e9f035-c92f-4dc6-bd0a-a10b2941f902,29.5866337,1,1,1,1
13,Label,4_C.json,4e23551b-4fd6-49d6-bc2b-c11836bf2a24,83.66895,3,6,3,2
13,Label,4_C.json,3bc363f5-3c91-4c51-8139-93034b21f3a9,29.6899452,1,1,1,1
13,P+SR,2_D.json,40573e58-0087-4bb3-9ed7-d18a24a35b78,119.530083,1,9,9,3
13,P+SR,2_D.json,bee10050-f98c-456a-a684-4435ee88ef00,79.48905,1,3,3,3
13,P+SR,2_D.json,2e919b0d-6d84-4641-a535-930a7ca6c8b7,60.8537445,1,3,3,3
13,P+SR,2_D.json,ae59cd40-20ff-4809-8cbb-87c7cc41665c,60.9762421,1,4,4,2
13,P+SR,2_D.json,7aeefa77-f398-4a26-b615-e50c4d05ba64,74.75196,1,2,2,2
13,P+SR,2_D.json,b1e13b56-4030-40b3-a8c7-fbc4554e6c18,68.97535,1,4,4,2
13,P+SR,2_D.json,fdf65cab-a9a0-4e5f-ac35-c3cff2196644,38.7444229,1,4,4,1
13,P+SR,2_D.json,2d0b42ad-6703-463c-81b3-4ee4d0c8b347,61.84543,1,1,1,1
13,P+SR,2_D.json,c78550a2-290e-4b94-98db-961c2110c668,39.3822174,1,4,4,2
13,P+SR,2_D.json,79dc7e7b-d1c7-4237-908d-f541b20406d4,26.6808071,1,1,1,1
13,P+SR,2_D.json,5dde3eac-8ee6-4821-99d4-f6e4ae5f7bd2,55.71344,1,2,2,2
13,P+SR,2_D.json,09ff7f59-f6d6-4c54-9955-f1b4bfd11225,44.3558235,1,3,3,1
13,Pointing,3_A.json,fe0ef0b0-c647-4b3a-b2f6-68a75133a566,58.438385,1,1,1,1
13,Pointing,3_A.json,d58fe3c1-28a0-4e49-9e2f-e72569f6e61e,88.26167,3,9,4,3
13,Pointing,3_A.json,81c1a60b-c8ac-4a16-b831-1df68863e61e,79.28168,3,7,3,2
13,Pointing,3_A.json,e2dc0c9a-3e6f-40a4-b8c5-7289c1efe296,28.5207138,1,1,1,1
13,Pointing,3_A.json,137e922c-0877-46af-a797-5a32df2edf5d,81.53101,3,6,3,3
13,Pointing,3_A.json,8aeed698-e7ee-41ef-bfe7-56f37e2232ab,97.68423,3,6,3,3
13,Pointing,3_A.json,7cbd6f03-54a0-426f-b4ea-d8e0ce58e276,40.26937,1,2,2,1
13,Pointing,3_A.json,2369c5c0-c4bb-4308-a9cd-05a64a69f91a,74.94768,2,9,6,2
13,Pointing,3_A.json,0ebd3226-6abe-4b54-8d2f-6c4c8adc1978,38.75392,2,3,2,2
13,Pointing,3_A.json,c87d383c-41db-4303-8615-9271bbf2465e,52.9181976,2,3,2,2
13,Pointing,3_A.json,eee4a904-a6ad-4369-970f-b656e1f59f12,41.66402,2,3,2,2
13,Pointing,3_A.json,f548cabb-2a47-4399-a702-f76d5d1336df,34.0765457,1,2,2,1
