participant,condition,taskId,T_task_sec,logT_task,N_cmds,N_actuations,n_devices_final,n_colors_required,avg_cmd_time
11,SR,9e93766e-b621-4d6e-9927-173ac982bf3a,50.003685,3.9120967027124345,3,6,3,2,16.667894999999998
11,P+SR,40573e58-0087-4bb3-9ed7-d18a24a35b78,50.5299225,3.9225656855603095,3,18,9,3,16.843307499999998
11,P+SR,c78550a2-290e-4b94-98db-961c2110c668,30.84306,3.428911765562856,2,6,4,2,15.42153
11,P+SR,fdf65cab-a9a0-4e5f-ac35-c3cff2196644,18.3327656,2.908689928812138,1,4,4,1,18.3327656
11,P+SR,09ff7f59-f6d6-4c54-9955-f1b4bfd11225,20.9297714,3.0411726142769044,1,3,3,1,20.9297714
11,P+SR,ae59cd40-20ff-4809-8cbb-87c7cc41665c,44.99065,3.806454690403749,3,10,4,2,14.996883333333335
11,P+SR,5dde3eac-8ee6-4821-99d4-f6e4ae5f7bd2,34.35831,3.536843910807476,2,3,2,2,17.179155
11,P+SR,2e919b0d-6d84-4641-a535-930a7ca6c8b7,31.55604,3.4517650128198203,1,3,3,3,31.55604
11,P+SR,bee10050-f98c-456a-a684-4435ee88ef00,25.3456249,3.232606127371006,1,3,3,3,25.3456249
11,P+SR,79dc7e7b-d1c7-4237-908d-f541b20406d4,26.5497417,3.279020018827063,1,1,1,1,26.5497417
11,P+SR,b1e13b56-4030-40b3-a8c7-fbc4554e6c18,25.9863453,3.257571219296528,2,6,4,2,12.99317265
11,P+SR,2d0b42ad-6703-463c-81b3-4ee4d0c8b347,21.3477764,3.060947584367754,1,1,1,1,21.3477764
11,P+SR,7aeefa77-f398-4a26-b615-e50c4d05ba64,30.0255375,3.402048269554356,2,3,2,2,15.01276875
11,Pointing,b594ae95-d981-4868-ae48-3f63eb87087a,97.87539,4.583695138977358,2,6,4,2,48.937695
11,Pointing,fd995852-c28d-49e9-97b5-9774af3241c3,98.83795,4.593481640314466,3,12,6,3,32.94598333333334
11,Pointing,ff4748e2-cd97-45bb-bf2c-e5c9c33f78ac,32.3114243,3.4754208611922626,1,3,3,1,32.3114243
11,Pointing,3bc363f5-3c91-4c51-8139-93034b21f3a9,20.7450943,3.0323097994481563,1,1,1,1,20.7450943
11,Pointing,1ff814e6-7f85-4e81-ad9f-9aababb20e6d,50.8949432,3.929763570880495,2,6,4,2,25.4474716
11,Pointing,4e23551b-4fd6-49d6-bc2b-c11836bf2a24,35.1736679,3.5602977316365756,2,3,2,2,17.58683395
11,Pointing,7612d934-759d-4a55-9a58-ef65940b7162,52.7510872,3.965584382570324,3,6,3,3,17.583695733333332
11,Pointing,3d9e0045-08fb-4a50-b4e5-e4b24c3554c9,37.71689,3.630108004737255,1,2,2,1,37.71689
11,Pointing,b0e9f035-c92f-4dc6-bd0a-a10b2941f902,20.490572,3.0199648779177757,1,1,1,1,20.490572
11,Pointing,e0153245-d5d9-449a-87f1-2a35d3239eef,43.6954041,3.7772429272344774,2,9,6,2,21.84770205
11,Pointing,04f5e376-2845-485a-8cb1-c38e3858ff8a,34.4756241,3.5402525264886777,2,6,4,2,17.23781205
11,Pointing,e81806f6-a4f2-4336-b77b-3407e101bc18,31.2091484,3.4407112697841735,2,5,3,2,15.6045742
11,Label,fe0ef0b0-c647-4b3a-b2f6-68a75133a566,76.46581,4.336843712825782,2,3,2,1,38.232905
11,Label,0ebd3226-6abe-4b54-8d2f-6c4c8adc1978,194.956711,5.272777539047443,5,17,2,2,38.991342200000005
11,Label,7cbd6f03-54a0-426f-b4ea-d8e0ce58e276,58.8654022,4.075253519089847,3,6,3,1,19.621800733333334
11,Label,f548cabb-2a47-4399-a702-f76d5d1336df,34.5113945,3.5412895448707316,1,2,2,1,34.5113945
11,Label,e2dc0c9a-3e6f-40a4-b8c5-7289c1efe296,19.51532,2.9711997981409772,1,1,1,1,19.51532
11,Label,eee4a904-a6ad-4369-970f-b656e1f59f12,80.1904144,4.3844039865322335,5,8,2,2,16.038082879999997
11,Label,81c1a60b-c8ac-4a16-b831-1df68863e61e,98.91836,4.594294863462,5,14,3,2,19.783672000000003
