participant,condition,T_task_sec,N_cmds,n_devices_required,n_colors_required
22,SR,103.105217,5,3,
22,SR,59.3112335,1,3,
22,SR,24.079977,1,2,
22,SR,70.0916061,2,3,
22,SR,62.687252,2,2,
22,SR,38.6125526,1,1,
22,SR,63.5247,2,6,
22,SR,117.3811,2,2,
23,Label,96.1856842,1,4,
23,Label,58.3348732,1,3,
23,Label,38.981575,1,1,
23,Label,39.42541,1,2,
23,Label,54.4763336,2,2,
23,Label,122.4727,2,3,
23,Label,131.122025,3,5,
23,Label,67.78898,2,3,
23,Label,146.6469,3,3,
23,Label,46.90642,1,2,
23,Label,51.769104,1,6,
23,Label,157.956284,3,6,
23,Pointing,82.95398,3,3,
23,Pointing,38.8996773,2,6,
23,Pointing,33.3610725,2,2,
23,Pointing,26.06476,1,1,
23,Pointing,24.4777584,1,2,
23,Pointing,56.78997,4,4,
23,Pointing,35.73083,2,3,
23,Pointing,12.859952,1,1,
23,Pointing,72.33747,3,3,
23,Pointing,42.3185959,2,2,
23,Pointing,14.9945107,1,2,
23,Pointing,28.64488,2,2,
23,P+SR,93.6957855,2,3,
23,P+SR,32.7495079,1,4,
23,P+SR,97.28555,3,6,
23,P+SR,62.5843544,1,4,
23,P+SR,56.88495,1,3,
23,P+SR,14.227684,1,2,
23,P+SR,33.16876,1,3,
23,P+SR,66.583374,1,4,
23,P+SR,45.38237,1,6,
23,P+SR,32.4090424,1,2,
23,P+SR,12.0419779,1,1,
23,P+SR,24.2640228,1,1,
23,SR,84.98539,2,3,
23,SR,32.9234,1,3,
23,SR,65.05295,3,2,
23,SR,29.3557663,1,2,
23,SR,68.61888,2,3,
23,SR,137.282959,2,6,
23,SR,49.79069,1,9,
23,SR,122.479095,3,5,
23,SR,157.764557,2,5,
23,SR,57.1945839,2,2,
23,SR,30.2077465,1,2,
23,SR,38.3513145,2,2,
24,Label,0.0,3,6,
24,Label,149.521469,1,3,
24,Label,102.074295,1,3,
24,Label,132.495956,3,4,
24,Label,32.3237534,1,2,
24,Label,37.61232,1,1,
24,Label,81.24341,1,2,
24,Label,25.8721581,1,1,
24,Label,24.8348179,1,3,
24,Label,45.4833832,1,2,
24,Label,83.05845,1,3,
24,Label,103.48716,1,9,
24,P+SR,83.64572,2,3,
24,P+SR,67.28252,3,4,
24,P+SR,65.9115753,2,3,
24,P+SR,41.772686,1,2,
24,P+SR,54.45838,1,2,
24,P+SR,32.4561157,1,2,
24,P+SR,34.341156,1,2,
24,P+SR,145.170319,1,2,
24,P+SR,25.1159878,1,2,
24,P+SR,42.18146,1,3,
24,P+SR,25.88497,1,1,
24,P+SR,18.1903648,1,1,
24,Pointing,148.9125,2,1,
24,Pointing,32.1639061,3,3,
24,Pointing,38.69888,1,3,
24,Pointing,57.27354,2,2,
24,Pointing,19.08485,1,1,
24,Pointing,23.3152161,1,4,
24,Pointing,59.0574646,2,2,
24,Pointing,24.3890076,2,3,
24,Pointing,23.5549126,2,6,
24,Pointing,21.2347031,2,4,
24,Pointing,22.6762714,2,2,
24,Pointing,20.0055313,1,2,
24,SR,94.50547,1,4,
24,SR,51.6802,1,2,
24,SR,87.47345,1,6,
24,SR,78.7637253,1,4,
24,SR,41.2624741,1,6,
24,SR,80.30552,1,5,
24,SR,27.2422543,1,1,
24,SR,43.1488457,1,2,
24,SR,26.3137817,1,1,
24,SR,59.5345879,1,4,
24,SR,30.9871178,1,3,
24,SR,31.5556183,1,2,
3,P+SR,40.396904,1,1,
3,P+SR,53.3739433,1,4,
3,P+SR,45.8651466,1,2,
3,P+SR,35.3795471,1,2,
3,P+SR,28.113039,1,4,
3,P+SR,23.7397385,1,3,
3,P+SR,42.09797,1,4,
3,P+SR,33.8355,1,4,
3,P+SR,37.5562553,1,3,
3,P+SR,124.606018,1,1,
3,P+SR,36.78621,1,3,
3,P+SR,52.7560959,1,9,
3,Label,106.158676,5,3,
3,Label,134.414566,5,3,
3,Label,51.55732,3,2,
3,Label,43.10014,2,4,
3,Label,36.4059448,1,2,
3,Label,62.31572,3,6,
3,Label,145.9042,5,3,
3,Label,73.0436,3,3,
3,Label,83.9272,2,3,
3,Label,117.433311,5,4,
3,Label,44.881424,2,4,
3,Label,54.1421776,2,4,
3,SR,74.23094,1,4,
3,SR,267.9742,4,6,
3,SR,99.01288,2,4,
3,SR,95.2831955,2,6,
3,SR,266.220917,5,5,
3,SR,96.19136,4,5,
3,SR,217.160126,4,7,
3,SR,26.4541531,1,1,
3,SR,353.365784,12,5,
3,SR,41.8973579,1,3,
3,SR,138.36145,3,2,
